"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-1",32936.1805243145,-0.246998440072105,0.0796145941056822,-3.10242666996749,0.00191941094522305,0.00395104551425954
"hsa-let-7a-2",32851.0507896985,-0.251306164266276,0.0797289282110583,-3.15200730657031,0.0016215221573459,0.00338563215265882
"hsa-let-7a-3",33101.1774371365,-0.248074680268384,0.0792572604806755,-3.1299931232025,0.00174810395366974,0.00360568512464
"hsa-let-7b",88030.1061534696,-0.360257169612897,0.100690911391442,-3.57785190971582,0.000346429627023098,0.000784267514834996
"hsa-let-7c",8573.65578880327,-1.79529919817406,0.107999537658521,-16.6232118868003,4.73277161164588e-62,1.61071993849681e-60
"hsa-let-7d",1556.32630185241,0.0640440648753286,0.0612640922060705,1.04537686871956,0.295848823158552,0.418367934134185
"hsa-let-7e",3358.75862973873,0.231105466549744,0.0721754134699308,3.20199712670889,0.00136478359367645,0.00290300843571594
"hsa-let-7f-1",10346.0769576196,-0.0473703058438834,0.100925849552998,-0.469357513993565,0.638814111391164,0.771868884888022
"hsa-let-7f-2",10492.8911181425,-0.0395911696471507,0.101221015113141,-0.391135868405364,0.695696809129587,0.811488104487248
"hsa-let-7g",1670.96086692041,0.0996883697533754,0.0536649824281503,1.85760556032686,0.0632250483436549,0.1051348116594
"hsa-let-7i",1509.7899573054,-0.470611307916095,0.0460943073947573,-10.209748980188,1.79328162595278e-24,1.44168546464393e-23
"hsa-mir-1-1",9.24010787035238,-1.78927694180562,0.167755259463265,-10.6659960917496,1.46817350693059e-26,1.25966819376145e-25
"hsa-mir-1-2",9.86934072024632,-1.74746833757929,0.161119123223645,-10.8458158325109,2.08764924167298e-27,1.90311596048938e-26
"hsa-mir-100",10807.59244566,-1.90574031356314,0.104684485574036,-18.2046107702878,4.74413434174114e-74,2.30655293472272e-72
"hsa-mir-101-1",16010.5337764053,-0.246225533109133,0.0884240358352077,-2.7845995806843,0.00535938615725049,0.0105432240203328
"hsa-mir-101-2",16088.650790448,-0.251570698131365,0.0884381838793753,-2.84459367092491,0.004446810879961,0.00883306207867739
"hsa-mir-103a-1",30158.1656983058,0.728446038477113,0.0826295676777224,8.81580357915279,1.18829653683894e-18,7.17899860421629e-18
"hsa-mir-103a-2",30168.1680212931,0.729357903857854,0.0825927728999942,8.8307714857931,1.03956178739525e-18,6.355644221141e-18
"hsa-mir-105-1",31.0474225473969,5.59607108399952,0.470415399166637,11.8960201853792,1.24126858215023e-32,1.34822895997381e-31
"hsa-mir-105-2",31.5122288594754,5.61922091878089,0.495872171420099,11.3319949024127,9.11057519973814e-30,9.03096823197344e-29
"hsa-mir-106a",63.1521092221937,1.05031239198474,0.131698647399743,7.97511905188169,1.52234006258347e-15,7.69460001929568e-15
"hsa-mir-106b",1644.65514234117,0.459915533782511,0.07166351690517,6.41770811208027,1.38341174031059e-10,5.69541688248835e-10
"hsa-mir-107",181.406053268565,0.650695940165384,0.0678601651247132,9.58877625731586,8.91359137257555e-22,6.45445162510613e-21
"hsa-mir-10a",114036.272247426,-0.0954468771593982,0.152922839695456,-0.624150567367696,0.532528707314623,0.677100635327808
"hsa-mir-10b",269208.155116932,-1.93998973803175,0.10581789027574,-18.3332868664886,4.4893825944825e-75,2.29182981448332e-73
"hsa-mir-1178",0.00875591224087306,-0.0754006339964338,2.80798290285531,-0.0268522411300163,0.978577585823445,NA
"hsa-mir-1179",0.5983863771751,-0.818572422569985,0.25580540589066,-3.19998093754075,0.00137436677177237,0.00291731491471848
"hsa-mir-1180",38.3105429238293,0.820783679104995,0.13661097322917,6.00818264963311,1.87614414999821e-09,7.01664167453544e-09
"hsa-mir-1181",0.623391870128278,0.389793553815336,0.222836215076896,1.74923790408497,0.0802499046291488,0.131728541199937
"hsa-mir-1185-1",0.850672755789077,-0.434288229853916,0.206889019390052,-2.09913619937047,0.0358048961923534,0.0627046295238299
"hsa-mir-1185-2",0.36203768103113,-0.286140298292802,0.249770799146194,-1.14561149370115,0.251955939400593,0.363343240293793
"hsa-mir-1193",0.0369830508005502,-0.36057909168741,1.12508989617473,-0.320489138613161,0.74859756265419,NA
"hsa-mir-1197",0.251490904381692,-0.747331951318405,0.346279476774073,-2.15817569750458,0.0309141741337603,0.0550844184826689
"hsa-mir-1199",0.0223616455644057,-0.0443897217381507,1.96004840203033,-0.0226472579412678,0.981931647095235,NA
"hsa-mir-122",0.272744941249347,0.616829658746796,0.621369442910139,0.992693905026804,0.320859146097031,0.447537142302006
"hsa-mir-1224",4.35662108432849,2.07968300761846,0.300886718452448,6.91184715069812,4.78383159248406e-12,2.1516705092186e-11
"hsa-mir-1225",0.198709581802299,-0.39312747954788,0.409699505004857,-0.959550779889812,0.337281351080593,0.467251369678813
"hsa-mir-1226",4.39221220386101,0.702951513649579,0.165232891710452,4.25430739831996,2.09697063621381e-05,5.50387408630927e-05
"hsa-mir-1227",0.265282175329001,-0.546609565834295,0.326522370667896,-1.67403404770158,0.0941239080759335,0.150392034656538
"hsa-mir-1228",3.53834506914881,-0.713834098443444,0.115512450802111,-6.17971563659699,6.42171652471039e-10,2.4929933732811e-09
"hsa-mir-1229",2.33470778926439,1.03452047956041,0.223649997389854,4.62562258722988,3.73474831659488e-06,1.04185192110475e-05
"hsa-mir-1231",0.0496621393485189,-0.0799341633881551,1.16659772406556,-0.068519046230938,0.945372459005385,NA
"hsa-mir-1234",0.281277372896299,0.0983309860086621,0.284866299950026,0.345182936787933,0.729956845795054,0.836460089289282
"hsa-mir-1236",0.097493819959203,-0.0734580185191383,0.683245921302321,-0.107513292401543,0.914381780633858,0.957574485685289
"hsa-mir-1237",0.186202451091349,0.13049868173923,0.419759965738747,0.310888823114806,0.755885141608668,0.855850662747996
"hsa-mir-1238",0.0523726718053629,-0.0200764722654606,0.954987541207965,-0.0210227583074706,0.983227501182185,NA
"hsa-mir-124-1",0.503594052205334,1.43086605372219,0.849666634455005,1.68403229654884,0.0921754272793132,0.148424283717759
"hsa-mir-124-2",0.479175258801179,1.28572736728729,0.880564060547722,1.4601179231498,0.144257667539318,0.221484328658112
"hsa-mir-124-3",0.563917123065958,1.53666390847157,0.915071910385349,1.67928213185394,0.0930970716572766,0.149453003399496
"hsa-mir-1243",0.138114614642075,-0.217676275309075,0.452152379460766,-0.481422381473863,0.630216332796101,0.768835629868626
"hsa-mir-1245a",9.63040811204568,-0.0606998947613501,0.118257263249839,-0.513286821403188,0.607750701148571,0.751049675280637
