"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-1",18334.1468168625,-1.59239500276396,0.260902438964365,-6.1034117162142,1.03827929026381e-09,5.33170446351687e-09
"hsa-let-7a-2",18293.8003011963,-1.59756963467636,0.26107296104142,-6.11924585488921,9.4019250097328e-10,4.90759821936602e-09
"hsa-let-7a-3",18381.7876346022,-1.594201325213,0.26045127613257,-6.12091961646425,9.30368328500266e-10,4.88314868549863e-09
"hsa-let-7b",31270.886915931,-3.55950585903128,0.233656901242526,-15.2338999623069,2.10642604870777e-52,1.4293605330517e-50
"hsa-let-7c",1484.7757137368,-2.78413711515124,0.453029790597917,-6.14559389455754,7.96648701173779e-10,4.2045348117505e-09
"hsa-let-7d",1980.66012849081,-3.7838281050045,0.179190575110409,-21.1162227850046,5.64307234571292e-99,1.49686520913703e-96
"hsa-let-7e",1602.06651607892,-1.26390479116002,0.341880278899503,-3.69692219518619,0.000218229189397426,0.000628235545235014
"hsa-let-7f-1",10869.667808715,3.30169584399931,0.418159284224792,7.89578509567277,2.88493410506587e-15,2.32261644051913e-14
"hsa-let-7f-2",11013.6814060512,3.34460915227924,0.418615419759918,7.98969410681866,1.35273980826235e-15,1.11748071117324e-14
"hsa-let-7g",1701.23162969116,1.08210893810351,0.160542877182251,6.74031110626651,1.58047853141263e-11,9.62470900539744e-11
"hsa-let-7i",1045.65878530175,-0.706802137063653,0.183582785896032,-3.85004581782486,0.000118095730995728,0.000348419082130254
"hsa-mir-1-1",69.9119051668341,5.24123006376792,0.898946410657565,5.83041436244686,5.52899083561679e-09,2.61320462379898e-08
"hsa-mir-1-2",74.3051331805102,4.31954980405442,0.778960975619728,5.54527112300825,2.93499027270133e-08,1.27900952250746e-07
"hsa-mir-100",4907.67685866331,-0.200047862084752,0.39237177787994,-0.509842637423235,0.61016171188385,0.690063840821021
"hsa-mir-101-1",8732.81791071992,4.94331298469094,0.234158170570688,21.1109993413561,6.30259035426116e-99,1.49686520913703e-96
"hsa-mir-101-2",8791.09304191704,4.92074056015291,0.233862817406595,21.0411411900408,2.75663503414715e-98,5.23760656487959e-96
"hsa-mir-103a-1",19484.0972471919,0.535625276785675,0.292319905901694,1.83232570198556,0.0669029100696701,0.122935714828214
"hsa-mir-103a-2",19525.9655417724,0.533688056636514,0.291195993660666,1.83274518968289,0.0668404735857317,0.122935714828214
"hsa-mir-105-1",16.4722425603243,0.493346506927109,1.43114477149325,0.344721594037167,0.730303682426955,0.798375717267672
"hsa-mir-105-2",17.3138886853206,0.311765782514561,1.44779839574108,0.215337842224213,0.829503927774381,0.875587479317402
"hsa-mir-106a",131.074919389895,3.54214633940102,0.635613685413326,5.57279747225336,2.50680937086447e-08,1.1025318992228e-07
"hsa-mir-106b",1654.86572157065,-0.724175044533998,0.171267436069318,-4.22832887064941,2.35433487585374e-05,7.57563798238299e-05
"hsa-mir-107",171.211348592568,0.706865228716287,0.212077956744358,3.33304431807759,0.000859012580257215,0.00232496282405799
"hsa-mir-10a",214339.139103129,2.78726578498161,0.355713281323278,7.83570907055477,4.66204208789949e-15,3.66028097810291e-14
"hsa-mir-10b",108228.469021708,1.81402662266438,0.309424595518778,5.86258057354169,4.5572834399042e-09,2.17558757181357e-08
"hsa-mir-1179",0.282794782153635,-0.912203144683766,0.955446354585813,-0.954740305727795,0.339709041665962,0.463221975552167
"hsa-mir-1180",37.2202371703607,-3.97164498543358,0.389465798846334,-10.1976733186798,2.03079137891469e-24,2.79601711589703e-23
"hsa-mir-1181",1.54981270296964,-1.78235590341419,0.591553674225173,-3.01300791639702,0.00258672169787833,0.00648386705272932
"hsa-mir-1185-1",0.879532285089998,0.481577278652826,0.825105065161956,0.583655705177739,0.559451974057774,0.649664568513073
"hsa-mir-1185-2",0.360933495488957,-0.582837931509401,0.894072831677695,-0.651890887251016,0.514471563999287,0.6116996067576
"hsa-mir-1193",0.0387724121414781,-2.14228596687639,4.44167355726244,-0.482315041674686,0.629582163537295,NA
"hsa-mir-1197",0.33856061549602,-1.04115011424538,0.95420744347224,-1.09111506241952,0.275222255837862,0.403416904995937
"hsa-mir-1199",0.0665889199418485,-1.65176603181175,2.94903149610788,-0.560104574668577,0.575408110286104,NA
"hsa-mir-122",0.224667126908966,-1.42875577735849,1.41081367474993,-1.01271755649217,0.311195089529564,0.443231386886186
"hsa-mir-1224",7.07131214218896,-4.69268980822305,1.10576524508748,-4.24383912324157,2.19727903792259e-05,7.12428357005619e-05
"hsa-mir-1225",0.242380207556017,-2.78014361620288,1.50501719374182,-1.84725040203082,0.0647108576032926,0.120024609598674
"hsa-mir-1226",4.03069199580932,-4.00044025903681,0.406436575010957,-9.84271717900624,7.36931543935074e-23,9.46060765862596e-22
"hsa-mir-1227",0.518508280430678,-4.25199876590806,0.682098085240048,-6.23370576448939,4.55528330161866e-10,2.47286807802156e-09
"hsa-mir-1228",2.77314835835702,-3.2899378326078,0.373748961408996,-8.80253371194684,1.3376136037219e-18,1.29666624850593e-17
"hsa-mir-1229",1.77327507949532,-2.83947286291549,0.561829719153024,-5.05397412439499,4.32710258031853e-07,1.73099693922562e-06
"hsa-mir-1231",0.0502826406091571,-1.7261619904221,3.58946774320152,-0.480896365120279,0.630590156299491,NA
"hsa-mir-1234",0.204258630881298,-3.04613389010579,1.14566211918128,-2.65884141502614,0.00784098608981673,0.0182571980032497
"hsa-mir-1236",0.0619917514588753,-2.03437823182416,2.94451550295854,-0.690904235274053,0.489625724391781,NA
"hsa-mir-1237",0.202844782847906,-1.87898712202176,1.07905265888875,-1.74133032947328,0.0816256927773629,0.147143089446859
"hsa-mir-1238",0.0338425200460502,-2.10761141909745,3.87694415322554,-0.543626974183766,0.586698193803176,NA
"hsa-mir-124-1",0.138330654074538,-1.32751060919936,2.13331659942441,-0.622275479203384,0.533760741978332,0.629122462629547
"hsa-mir-124-2",0.105263244064365,-1.39944358038411,2.66417277498737,-0.525282591850954,0.599386757115865,NA
"hsa-mir-124-3",0.117500934939208,-1.36979755955695,2.56567917014616,-0.533892770185648,0.593415724383008,0.676510954777207
"hsa-mir-1243",0.0688434304519975,-1.5755090251756,2.30509202522305,-0.683490727457247,0.494296807465987,NA
"hsa-mir-1244-1",0.0168555751935951,-1.82641018920126,6.42672867213568,-0.284189714919818,0.776264996975945,NA
"hsa-mir-1245a",4.61927235139193,2.81538211358558,0.798466844803988,3.52598499475168,0.000421910873104195,0.00118234610456928
"hsa-mir-1245b",0.0724094138937379,-1.52519979740938,2.15028148257121,-0.709302391231874,0.478136844843512,NA
"hsa-mir-1246",1.37145235800714,0.106575913770409,1.23792591073619,0.0860923201026046,0.931393028628728,0.953622792429886
"hsa-mir-1247",959.722867294776,-0.0234345666246755,0.610357116629759,-0.0383948445691523,0.969372871390852,0.978644237854739
"hsa-mir-1248",11.1120852564114,-1.48051335257227,0.443672359863387,-3.33695196389547,0.00084702586270249,0.0022990701987639
"hsa-mir-1249",4.65786183325151,-3.36129663052569,0.343234907823478,-9.79299177883844,1.20671434638871e-22,1.52850483875903e-21
"hsa-mir-1250",0.152750199330793,-1.64854617652435,1.53837164708348,-1.07161762871134,0.283891811983223,0.413012590174674
"hsa-mir-1251",0.209410498166501,-1.59942659012542,1.78675337829562,-0.895158005326458,0.370702629992711,0.48957324907266
"hsa-mir-1252",0.0441564153498284,-1.66736107703989,3.31514229128425,-0.502953095384022,0.614997249873712,NA
"hsa-mir-1254-1",1.09990634229554,-2.57592382825111,0.553547114842755,-4.65348614269781,3.26369546598608e-06,1.17443586844196e-05
"hsa-mir-1254-2",1.05400805820591,-2.52035633948072,0.561559287845733,-4.48813935417108,7.18479272502994e-06,2.51865427630201e-05
"hsa-mir-1255a",1.38639834603072,0.988822176290047,0.824200255759496,1.19973534269151,0.230242142283025,0.353932095742514
"hsa-mir-1256",0.262630726761349,-0.998283619217689,1.05754120824237,-0.943966638308907,0.345186696817686,0.46846765996686
"hsa-mir-1257",0.188807621375857,-1.27218340007691,1.71757054739872,-0.740687712655324,0.458882811225393,0.567411112857428
"hsa-mir-1258",1.0804499592896,-1.28791943333254,0.924887980848027,-1.39251396926107,0.163766814486694,0.271515661016334
"hsa-mir-125a",1066.93514299087,-4.08652949554075,0.254733790471031,-16.0423534230944,6.46570103395772e-58,4.7249353709691e-56
"hsa-mir-125b-1",396.008968757728,-2.9233696052734,0.389212150161216,-7.51099266572872,5.86806804362172e-14,4.22323078897018e-13
"hsa-mir-125b-2",405.872392342562,-2.89648367491606,0.390726796344865,-7.41306637274899,1.23412081143649e-13,8.43463863931415e-13
"hsa-mir-126",6042.17770463651,3.43584986601427,0.262433222036555,13.0922824456108,3.64487920812129e-39,1.19401215438456e-37
"hsa-mir-1260b",0.212456213538678,-3.82456651163034,1.60264672281556,-2.38640647198359,0.0170139344371368,0.0370716461359632
"hsa-mir-1262",3.25220826184798,-0.71870021799678,0.527897741844888,-1.36143832607633,0.173375211249237,0.282031593641739
"hsa-mir-1265",0.044678366761571,-2.93303994681308,5.46530476630393,-0.536665396026328,0.591498762848284,NA
"hsa-mir-1266",46.6562075462552,-2.08433076372804,0.415452158727485,-5.0170175312418,5.24797806296946e-07,2.06015667761198e-06
"hsa-mir-1267",0.0259613947757748,-1.81505911166089,6.25581080491176,-0.290139706628562,0.771709360125587,NA
"hsa-mir-1269a",236.509911847785,-1.10736049533048,1.07341859538299,-1.03162037633174,0.30224999105774,0.433088222480925
"hsa-mir-1269b",27.2404480844694,-0.0974475650916373,1.90571470782765,-0.0511343931446691,0.959218430064109,0.972526690032981
"hsa-mir-127",2375.81625273331,-1.58340881855471,0.265253783283163,-5.9694108749597,2.38111786960357e-09,1.18432564194942e-08
"hsa-mir-1270",1.65416588100095,-2.49289460808651,0.571827402818068,-4.35952281370406,1.30346365124784e-05,4.47036270283556e-05
"hsa-mir-1271",7.40950948534015,-1.85676870360752,0.433145047433451,-4.28671345686527,1.81335953467969e-05,5.98156790953368e-05
"hsa-mir-1273c",0.0191677141032702,-1.81273036234163,6.37818320293287,-0.284207948355588,0.776251024614466,NA
"hsa-mir-1273h",0.101772897058852,-1.55034291363568,2.11787997984153,-0.732025860007274,0.464152783961994,NA
"hsa-mir-1275",2.12017731675081,-1.72733266480587,0.727499029910594,-2.3743435988061,0.0175801823358013,0.0381305324634959
"hsa-mir-1276",0.575947065456694,-0.95206008293271,0.815407636299566,-1.16758789168727,0.242973036641728,0.368140964608679
"hsa-mir-1277",4.23305173144258,2.63890972343679,0.825091407266696,3.19832408893795,0.00138228837764626,0.00364770544101096
"hsa-mir-1278",0.213284020150538,-1.31645655403189,1.32168193325915,-0.996046416996582,0.319227592741114,0.447956001630809
"hsa-mir-128-1",206.140302184086,-0.257771330125813,0.212461631967143,-1.21326061434789,0.225030196044888,0.347607619906737
"hsa-mir-128-2",139.821463997864,0.410892126570465,0.244707514391095,1.67911528010444,0.0931295788114332,0.165385642065965
"hsa-mir-1283-2",0.0334413724410053,-1.74350325611941,4.48442233668855,-0.388791047144518,0.69743072417113,NA
"hsa-mir-1284",0.820207956034311,0.270020707561405,0.808035144102626,0.334169509249848,0.738251650850513,0.805211329859916
"hsa-mir-1285-1",0.0993859402038215,-1.60187934751751,2.53283767376516,-0.632444536067032,0.527096440034616,NA
"hsa-mir-1286",0.131057122235214,-1.47714964332817,2.08971216921368,-0.706867512708218,0.479648814550136,0.586087480797803
"hsa-mir-1287",49.9190528314379,-1.25355865773248,0.245798876898432,-5.09993647469136,3.39767495240087e-07,1.37939795076104e-06
"hsa-mir-1288",1.52624469724644,0.0435574130383409,0.766799006772575,0.0568042116038624,0.954701158982756,0.970017220356811
"hsa-mir-1289-1",0.0577897523393135,-1.64688309458809,2.81783140011869,-0.58445054396041,0.558917229640061,NA
"hsa-mir-129-1",8.06870075002785,-5.00818532403285,0.670423538491766,-7.47018121604089,8.00844559449902e-14,5.63557282575857e-13
"hsa-mir-129-2",8.61426860568455,-4.90956831115667,0.639284758588996,-7.6797831407601,1.59358123876611e-14,1.17356757893628e-13
"hsa-mir-1291",3.52267895128233,-1.28149548728591,0.579129257957947,-2.2127970046006,0.0269116438953324,0.0552182758111572
"hsa-mir-1292",1.81115192751113,-2.05507345420051,0.477113811737894,-4.30730237448981,1.65257631599615e-05,5.52798415562094e-05
"hsa-mir-1293",1.42262010517653,0.31409474126821,1.07124868372797,0.293204319444438,0.769365982672422,0.832457498335764
"hsa-mir-1294",0.807684840100883,-0.443858208567035,0.832465405966067,-0.533185169480938,0.593905406614937,0.676510954777207
"hsa-mir-1295a",0.885403645829712,-4.57531400435458,0.515512685555861,-8.87526947939442,6.97642887981907e-19,7.12645960841733e-18
"hsa-mir-1295b",0.121047753738727,-1.78255933453784,1.9880719479031,-0.896627175096944,0.369917892230379,0.489445679134903
"hsa-mir-1296",15.9359311192618,-3.81239897165154,0.297862289956224,-12.7991998322843,1.65649255175653e-37,4.76869067929909e-36
"hsa-mir-1298",0.0430564911019191,-1.69204680211278,3.62373005108666,-0.466935113338638,0.640546302294797,NA
"hsa-mir-1301",17.8386040068418,-1.61624949655149,0.279345824422212,-5.78583732151529,7.21520149615524e-09,3.39328783235023e-08
"hsa-mir-1303",0.0761829141725247,-1.61556553530726,2.49038253192538,-0.648721838752305,0.516518185955354,NA
"hsa-mir-1304",12.7240673693225,0.108485806189686,0.906391799226563,0.119689748166586,0.904728921753744,0.931898845071396
"hsa-mir-1305",0.248535423584132,-1.02225036239642,1.32597972266152,-0.770939664404936,0.440742695301444,0.550928369126805
