"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-1",21732.5654022985,-0.450123682113526,0.0873191446196437,-5.15492546421789,2.5373183407111e-07,1.09205287175099e-06
"hsa-let-7a-2",21690.9700209288,-0.449190331337694,0.0874339325643007,-5.13748287608304,2.78442830833519e-07,1.19315195493135e-06
"hsa-let-7a-3",21834.7796745858,-0.450155287132568,0.0870632214675817,-5.17044142801659,2.33541666088173e-07,1.01861699896493e-06
"hsa-let-7b",36197.7040431005,0.798893670078726,0.0757476049267791,10.5467845597359,5.25653138624165e-26,7.23328333008182e-25
"hsa-let-7c",5221.45857976067,-0.384006865402382,0.0942744221904423,-4.07328792349059,4.63540608802361e-05,0.000161742562428538
"hsa-let-7d",1443.55257967104,0.0816842393653067,0.054017248521673,1.51218808067451,0.130486022381236,0.240537441257485
"hsa-let-7e",3202.55710137274,-1.23631362323655,0.0958885769533851,-12.8932315247265,4.91406964853858e-38,1.04370566230917e-36
"hsa-let-7f-1",11970.5254968774,-0.921134619900401,0.151638628483083,-6.07453805877152,1.24345143521787e-09,6.46197900110564e-09
"hsa-let-7f-2",12170.2067939958,-0.930261765713327,0.152211726693477,-6.11163006899384,9.86185762511923e-10,5.15242508007566e-09
"hsa-let-7g",1654.40647975979,-0.945188277426348,0.0754027657556223,-12.5351937419599,4.79188965065941e-36,9.55444120141682e-35
"hsa-let-7i",1258.83979468889,0.580852343676041,0.0592823537645728,9.79806479990272,1.14763202278432e-22,1.41928669146871e-21
"hsa-mir-1-1",16.7542208332545,-1.75315966977487,0.176242433659451,-9.94743225778676,2.58773905065873e-23,3.28340396427737e-22
"hsa-mir-1-2",17.7098334661964,-1.70270574635548,0.176537677458689,-9.64499913483864,5.16116299994219e-22,5.79592672522244e-21
"hsa-mir-100",10850.5429867021,0.271560222859998,0.137402242279344,1.97638858256698,0.0481107836804031,0.100222250865147
"hsa-mir-101-1",17294.671202567,0.731690393722161,0.0849788869970151,8.6102609669136,7.28944427508288e-18,6.65587575397754e-17
"hsa-mir-101-2",17340.7847625432,0.729742576695421,0.0847749010453457,8.60800269533886,7.43445100373501e-18,6.72542465800843e-17
"hsa-mir-103a-1",14879.0811658806,0.392670944971557,0.0783696556830448,5.01049725878164,5.42895717315406e-07,2.25706006730703e-06
"hsa-mir-103a-2",14891.8493741959,0.393897506121787,0.078240953664879,5.03441596339592,4.7930788355741e-07,2.01846466480857e-06
"hsa-mir-105-1",0.631894940162767,-1.14038371773157,0.52121029266344,-2.18795318086311,0.0286730128897713,0.0635227519122599
"hsa-mir-105-2",0.691822323148404,-0.886378511587395,0.51189580299967,-1.73156041990047,0.0833518584990873,0.16222064891157
"hsa-mir-106a",46.5207443319609,-0.425650296127188,0.104296611418234,-4.0811517300434,4.48130876134552e-05,0.000156926116839949
"hsa-mir-106b",784.817145121281,1.1655989808566,0.0511579671084549,22.7843099860776,6.56081150891414e-115,2.13663761473637e-112
"hsa-mir-107",130.520334522699,-0.166885557260295,0.0678090649934176,-2.46110984241554,0.0138507953504223,0.0326077760418375
"hsa-mir-10a",103267.771212703,-1.13254928182628,0.136556504380622,-8.29363117460545,1.09842682975803e-16,9.08461054460671e-16
"hsa-mir-10b",532948.825237072,-0.920063362842889,0.108077924241063,-8.51296293210376,1.69544285021883e-17,1.50586151333072e-16
"hsa-mir-1179",0.4072131761906,-0.0922887660496874,0.289857032687331,-0.318394089645012,0.750186020977112,0.921845681078554
"hsa-mir-1180",21.8991688201221,0.616005385460995,0.129902715392297,4.74205164688592,2.11564668615839e-06,8.47125742777356e-06
"hsa-mir-1181",0.274721582276771,0.012903611087883,0.327961360759125,0.0393449126385356,0.968615399211272,0.986795875943079
"hsa-mir-1185-1",0.233137515403605,-0.542850428484623,0.468461255200594,-1.15879471879094,0.246539870727018,0.40550413080858
"hsa-mir-1185-2",0.148396705837698,0.0273843966444136,0.635989289518714,0.0430579525405793,0.965655337203828,0.986556746389272
"hsa-mir-1197",0.0859659286006253,0.17413901483803,1.06195903314102,0.163979032527242,0.869747649988204,0.955780031171014
"hsa-mir-122",61.684226809502,6.50533145372272,0.276864838500675,23.4964161175232,4.4377775894129e-122,2.1678543524282e-119
"hsa-mir-1224",0.592475349737173,1.39416765239951,0.356909636920211,3.90622025347885,9.37510644999083e-05,0.000304301627961496
"hsa-mir-1225",0.320227913748052,0.198111635248616,0.519373195058303,0.381443703936968,0.702874036800165,0.900353178907961
"hsa-mir-1226",2.25922265159937,-0.289472234129474,0.148493188289645,-1.94939739299584,0.0512479856298615,0.105631396540875
"hsa-mir-1227",0.189483696797831,0.107646509104275,0.448346771202178,0.240096541379423,0.810255415386138,0.94676856506893
"hsa-mir-1228",2.02911207631684,1.77888770871523,0.245674592870717,7.24082896781818,4.45950493713988e-13,2.96390226094263e-12
"hsa-mir-1229",2.12638643176814,0.120761885986785,0.190000171177749,0.63558830099058,0.525044796710561,0.755791760113454
"hsa-mir-1231",0.0475852650109726,0.236041147248025,1.47728333264232,0.159780552607897,0.873053944020152,NA
