"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-1",53009.3495393745,-1.67074850018865,0.124975166770494,-13.3686438943253,9.22065967033558e-41,2.62020412298703e-39
"hsa-let-7a-2",52989.1732203076,-1.66926848283639,0.124883965735501,-13.3665556903585,9.48313890990383e-41,2.6219597580626e-39
"hsa-let-7a-3",53139.343363564,-1.66695715250652,0.124551667212534,-13.3836598884063,7.53440588909633e-41,2.20219920701301e-39
"hsa-let-7b",76839.3317635794,-1.54813731797278,0.126098285079657,-12.2772273785865,1.20042045406241e-34,2.45606024901169e-33
"hsa-let-7c",6436.33486215533,-1.96188054603083,0.143798176647334,-13.6432922292357,2.21338082794504e-42,7.0759018343368e-41
"hsa-let-7d",3221.02027466463,-2.43720147607996,0.113981319453661,-21.3824641420369,1.9457940505993e-101,1.99054731376308e-98
"hsa-let-7e",6743.87750571578,-1.2057034678,0.140110028964225,-8.60540445757716,7.60481223644026e-18,6.88471054679503e-17
"hsa-let-7f-1",27700.0413611247,-1.86736207479473,0.168075513892083,-11.1102565243009,1.1183777147527e-28,2.00719368805615e-27
"hsa-let-7f-2",27956.4490360931,-1.86470036397836,0.167953170245813,-11.1025017345563,1.21980882066648e-28,2.15149038541691e-27
"hsa-let-7g",3111.34747610401,-0.956263303970182,0.0974061484658398,-9.81727867317885,9.48699713029253e-23,1.18356073954747e-21
"hsa-let-7i",2661.56280765559,0.0743177965169119,0.0781896009540708,0.950481849377473,0.341867472259259,0.485063001555093
"hsa-mir-1-1",33.9861228049934,-2.25955442237156,0.226758138755339,-9.96460120361773,2.17745967118628e-23,2.8558221072097e-22
"hsa-mir-1-2",35.7029926060534,-2.30170337527207,0.225362300909491,-10.2133469794332,1.72799230796641e-24,2.45518907090228e-23
"hsa-mir-100",37931.3062430689,-0.08506986145974,0.179135163896767,-0.474892029064515,0.634863933133007,0.756953151043201
"hsa-mir-101-1",27099.9314292925,-1.17049118503642,0.129316280096245,-9.05138304446487,1.41168810336255e-19,1.40209410654358e-18
"hsa-mir-101-2",27285.1572132982,-1.18336345410021,0.129958931443525,-9.1056723917006,8.57337098983719e-20,8.59858678686612e-19
"hsa-mir-103a-1",37154.7725102512,-0.271294632040407,0.0909828164110686,-2.98182275227306,0.00286537839883664,0.00727365285858531
"hsa-mir-103a-2",37276.4869565467,-0.27337882141483,0.0908230210016846,-3.01001682612781,0.00261233217454797,0.00669778399639744
"hsa-mir-105-1",129.342636953288,6.93724251050384,0.718684880418768,9.65269021168443,4.78827924489516e-22,5.57920523444386e-21
"hsa-mir-105-2",129.550152099955,6.88671879302296,0.711135029821365,9.68412257057972,3.52219844132909e-22,4.23906941821136e-21
"hsa-mir-106a",65.7539500121917,1.34973296484671,0.217495761175208,6.20578974759608,5.4422899163737e-10,3.11031429298899e-09
"hsa-mir-106b",2714.04396181696,0.0729400273315229,0.112369161179514,0.649110721891023,0.516266812084011,0.656982161345369
"hsa-mir-107",392.534487119603,-0.202451988739282,0.0904954721431644,-2.23715047774989,0.0252765067739653,0.0529874312085379
"hsa-mir-10a",122235.394767794,-0.0146748373645455,0.163207584217878,-0.0899151680656881,0.928354627603264,0.963260373652307
"hsa-mir-10b",31412.7924944064,-0.414399874555217,0.221250849684263,-1.87298659031858,0.0610702367470714,0.116340506875706
"hsa-mir-1178",0.0977700602645465,-0.32018098305538,0.943795252008328,-0.339248351137662,0.734422647669152,NA
"hsa-mir-1179",0.406323108305126,-0.265322652944714,0.337103350063905,-0.787066200601139,0.431243113955404,0.582007527145618
"hsa-mir-1180",116.852204143098,-0.89614399803446,0.1702352489752,-5.26415065874525,1.40838923422812e-07,6.46090666643663e-07
"hsa-mir-1181",1.26291679957091,-0.765375527951535,0.241237076284224,-3.1727110100181,0.00151022769088014,0.00409804490124771
"hsa-mir-1185-1",1.13144274527192,0.444679904382122,0.427571456814113,1.04001307219029,0.298333827441948,0.441672222102913
"hsa-mir-1185-2",0.418777544196206,0.393841585345342,0.479620556872486,0.821152429148384,0.411559449218358,0.565134653087759
"hsa-mir-1193",0.0412220205387739,-0.372601161752712,2.13304020045799,-0.174680796767313,0.861330457724064,NA
"hsa-mir-1197",0.391425591157912,-0.383232533920935,0.705224782617386,-0.543418982666205,0.586841358734273,0.725046751189808
"hsa-mir-122",1.2676952924149,2.14594284051398,0.869415960721846,2.46825793114297,0.0135772448063822,0.0304594768353705
"hsa-mir-1224",5.8540028792238,-0.0932112058407485,0.396538161720433,-0.235062384503775,0.814160313570682,0.890787166612629
"hsa-mir-1225",0.26453460556057,-0.472254528180616,0.550882929445081,-0.85726840121245,0.391296567596263,0.54240703069238
"hsa-mir-1226",7.9875449673927,-1.2154730290655,0.219968338689436,-5.52567263228539,3.28225654117607e-08,1.60657820173355e-07
"hsa-mir-1227",0.828334155289875,-1.28908397266247,0.378207527482799,-3.40840379683109,0.000653441214432136,0.00186723564906166
"hsa-mir-1228",5.87036450589784,-0.76706155468023,0.17061530879006,-4.49585421214512,6.92912023436263e-06,2.68503409081552e-05
"hsa-mir-1229",3.66136375655873,1.80663885387313,0.322726653499038,5.59804662641079,2.1678045630424e-08,1.08709022940803e-07
"hsa-mir-1231",0.133471406689365,-0.0740322828236944,0.86393208729757,-0.0856922481664869,0.931711064528804,NA
"hsa-mir-1234",0.401037717352408,-0.787438945741059,0.417663895214567,-1.8853411912383,0.0593837882796077,0.113976764371555
"hsa-mir-1236",0.147684012884099,-0.0471539353511945,0.801139082553409,-0.0588586131647758,0.953064722779971,NA
"hsa-mir-1237",0.401346048933271,0.173699624908225,0.378283464044419,0.459178477037074,0.646106005097818,0.765893908708074
"hsa-mir-1238",0.0939173969833613,-0.547263155335514,1.07469128300189,-0.509228244419057,0.610592247584287,NA
