"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-1",26609.4748721218,-1.07322993409311,0.0908355858188527,-11.8150824307269,3.26228792781588e-32,4.84216736714385e-31
"hsa-let-7a-2",26537.6532608379,-1.07301689814753,0.090953243797166,-11.7974560702909,4.02289824634393e-32,5.88702996894556e-31
"hsa-let-7a-3",26725.8247219378,-1.06773606764466,0.0905765720312106,-11.7882145868442,4.48957777117024e-32,6.47871014478594e-31
"hsa-let-7b",54387.8332865166,-0.834652644984958,0.113417288437793,-7.35913066236586,1.85111772091816e-13,9.71369349512104e-13
"hsa-let-7c",5503.52099606189,-0.997722926464052,0.172354919607004,-5.78876964312371,7.09038560330284e-09,2.74884725441479e-08
"hsa-let-7d",2173.78965096673,0.014067949323217,0.0814177154096156,0.172787325859496,0.862818599698005,0.87889071086885
"hsa-let-7e",2688.66004552655,-0.513697951821369,0.128180515650529,-4.00761339751443,6.13354141369485e-05,0.000147517350204374
"hsa-let-7f-1",10833.5614646262,-0.698127314375011,0.128603282531497,-5.42853417605441,5.68187667974635e-08,2.00539443259058e-07
"hsa-let-7f-2",10971.8478931744,-0.692220841105437,0.129090014857533,-5.36231126682716,8.21637974540925e-08,2.82676111108616e-07
"hsa-let-7g",1627.84975130211,-0.0511019464761887,0.0658206769678252,-0.776381356593592,0.437523849218911,0.478512925619419
"hsa-let-7i",2021.88897020456,-0.0604251136759372,0.0753324079408978,-0.802113132018079,0.42248751935688,0.465004801495549
"hsa-mir-1-1",14.5466066975456,-2.37743185423291,0.218399254952268,-10.88571412367,1.34837613261299e-27,1.58411982177505e-26
"hsa-mir-1-2",15.9315261293282,-2.39732017695621,0.215707121328001,-11.1137739087941,1.07517380595975e-28,1.32988760046688e-27
"hsa-mir-100",18104.4856936575,-1.6412625686956,0.151994209904704,-10.7981913898209,3.5105023242198e-27,4.00814496138942e-26
"hsa-mir-101-1",21616.8712162889,-2.12809611429762,0.112518870455878,-18.9132374478653,8.87379324332405e-80,6.58562227129549e-78
"hsa-mir-101-2",21724.2940407167,-2.1336038542318,0.112273977769406,-19.0035473635209,1.59398008451634e-80,1.38012108984373e-78
"hsa-mir-103a-1",35732.5313727351,-0.18919442799469,0.100631078273402,-1.88007950665769,0.0600972429978248,0.0831438554923302
"hsa-mir-103a-2",35796.9867381285,-0.191149704388105,0.100304749000467,-1.90568947425625,0.0566905057314111,0.0789563477948205
"hsa-mir-105-1",197.711136018616,6.82773172157439,0.449598059655247,15.1863015752557,4.3582555227731e-52,1.37219014792765e-50
"hsa-mir-105-2",196.744595469771,6.76809417565206,0.445780268873255,15.1825790602149,4.61281936844138e-52,1.40962333053253e-50
"hsa-mir-106a",99.2575818682545,1.53018463656562,0.194459380592039,7.86891654137187,3.57725705427182e-15,2.14842201120718e-14
"hsa-mir-106b",2628.14342160716,0.52539430203164,0.102155509103808,5.14308338963633,2.7026558510111e-07,8.66685009012511e-07
"hsa-mir-107",249.393097992365,-0.761841310168316,0.0765724015788413,-9.94929366795294,2.53979419721733e-23,2.39895106446255e-22
"hsa-mir-10a",83055.6328722242,-0.823556807550306,0.129593368847099,-6.35493015481358,2.08521344973404e-10,8.91578919454183e-10
"hsa-mir-10b",39912.3646104846,0.244841267798992,0.207539490407929,1.17973339588405,0.23810626704217,0.278595057946863
"hsa-mir-1178",0.0154666152825331,0.892324264803412,3.24407809573503,0.275062510355883,0.783268213399417,NA
"hsa-mir-1179",0.51275168980727,0.200907877083905,0.357631903894264,0.561772802974828,0.574270824390597,0.61008935229226
"hsa-mir-1180",105.910491588003,0.61878410452081,0.173129528763944,3.57411071894328,0.00035142021418046,0.000754391740771691
"hsa-mir-1181",0.936724039652542,0.00490731901923722,0.250466643227947,0.0195927048647796,0.984368283392239,0.989128284762607
"hsa-mir-1182",0.0261268389081194,1.03948305937016,2.81160751846505,0.369711295955576,0.711597614298613,NA
"hsa-mir-1185-1",1.12006629263805,1.43316794190679,0.403356961500759,3.55310079829649,0.000380718553214472,0.000808929604887191
"hsa-mir-1185-2",0.437615546895144,1.07424836885439,0.486372737284953,2.2086936345386,0.0271959574861565,0.0416764009264256
"hsa-mir-1193",0.0518109052967493,1.16906622544395,1.77607839325778,0.658228955366991,0.510391021480023,NA
"hsa-mir-1197",0.524660611301367,0.881310926949321,0.556121465293402,1.58474538738466,0.113024195128177,0.144620860514995
"hsa-mir-122",1.97340466187716,3.08718457180382,0.95323177412055,3.23865051041972,0.00120096636033543,0.0023543472611104
"hsa-mir-1224",6.83498091499581,2.12170000953782,0.381507511015046,5.56135842225699,2.6768278977603e-08,9.79304290765124e-08
"hsa-mir-1225",0.266675209987894,0.171123632003995,0.487777943789178,0.350822816371451,0.725721278825263,0.753733866620292
"hsa-mir-1226",5.15872096849987,1.08798718234939,0.180294498429935,6.03450017512429,1.59455457912672e-09,6.37208541427947e-09
"hsa-mir-1227",0.470362622400398,0.803743298441408,0.370309802551719,2.17046184816875,0.029971875835724,0.0453286448228781
"hsa-mir-1228",4.5213809116107,0.463348111496454,0.161301803035219,2.87255382629098,0.00407168710332973,0.00728161501045933
"hsa-mir-1229",2.41656778877252,1.32340345708746,0.257463654270386,5.14015642649754,2.74509839065241e-07,8.74894855180323e-07
"hsa-mir-1231",0.167000613733265,1.44547281585707,0.733819292243058,1.96979396853783,0.0488619881197624,0.0701210022878911
"hsa-mir-1234",0.227370253548326,0.825270060188863,0.464989579633062,1.77481409549029,0.0759285881585891,0.101531278116826
"hsa-mir-1236",0.0965451277878447,1.17154311604078,1.0285519522899,1.13902181939622,0.25469405364571,NA
"hsa-mir-1237",0.31151178711453,1.51590702944048,0.433787953014503,3.49458074828047,0.000474806957532335,0.000996615007830496
"hsa-mir-1238",0.102332559542676,1.10871013591001,0.872677128003533,1.27047002875675,0.203917252265655,NA
"hsa-mir-124-1",0.372225030686747,1.40377765462175,0.885088154233225,1.5860314567625,0.112732173934966,0.144425066237274
"hsa-mir-124-2",0.412315020910458,1.7917871677164,0.886612273538653,2.02093657080226,0.0432863315639811,0.0633443640774315
"hsa-mir-124-3",0.412566056860545,1.21383154379655,0.845182703092118,1.43617650876635,0.150952121710859,0.185389189666173
"hsa-mir-1243",0.168538265658206,0.96076574387809,0.752576185984053,1.27663585663665,0.20173083664887,0.240365067979559
"hsa-mir-1245a",7.0566909692629,1.03362105405909,0.180657061861471,5.72145391610364,1.05616307206622e-08,4.00493953239709e-08
"hsa-mir-1245b",0.144010688090959,0.462426417529181,0.670879158325863,0.689284220250838,0.490644426109984,0.530349834521976
"hsa-mir-1246",1.33873298985486,3.66219343808134,0.54196319267697,6.75727334912233,1.40612757912593e-11,6.52217211924928e-11
"hsa-mir-1247",107.731076205686,-0.662024253118001,0.256461265267402,-2.58138106129881,0.00984058937390584,0.0164115126155508
"hsa-mir-1248",26.4429064269511,3.43908948770763,0.266132231697195,12.9224839312986,3.36112828957071e-38,6.23609338011422e-37
"hsa-mir-1249",7.84973560151127,1.44917102310543,0.164297212715009,8.82042366488086,1.14027460000464e-18,8.64777598105705e-18
