"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-1",39952.467567246,0.445460192806611,0.0789525495103461,5.64212549904088,1.67963592898543e-08,8.14894334578735e-08
"hsa-let-7a-2",39771.570128085,0.440408840501358,0.0788905869062136,5.58252711473579,2.37048638352283e-08,1.12113569837055e-07
"hsa-let-7a-3",39912.7358554455,0.439781156864191,0.0787773348911519,5.58258485733041,2.36969923351581e-08,1.12113569837055e-07
"hsa-let-7b",34320.2836641428,-0.112242081785558,0.0811290368950052,-1.38350073021104,0.166511383581048,0.267556753104589
"hsa-let-7c",26847.7147915916,-0.294246066123053,0.0936145407943936,-3.14316626056318,0.00167130880615535,0.00420342549240408
"hsa-let-7d",1142.68476792554,0.24687801375142,0.0535772416658396,4.60788958287914,4.06776564894132e-06,1.42942045233826e-05
"hsa-let-7e",3117.89664675585,0.0381491041545478,0.0827877012258737,0.460806419186151,0.644937495877004,0.772281842196668
"hsa-let-7f-1",16441.4607183724,0.398677828361989,0.113988373389849,3.49753063848434,0.000469586770452306,0.0013225814658432
"hsa-let-7f-2",17029.5540993618,0.432870629931061,0.113819333495084,3.80313797874906,0.000142874725186713,0.000429767173361633
"hsa-let-7g",1787.69561142936,0.17906711463851,0.0551069383570831,3.24944770979995,0.00115629334404165,0.00297785135177849
"hsa-let-7i",813.623394515767,0.0216704405601212,0.0559257380070776,0.387486000763705,0.698396446829806,0.815211577261209
"hsa-mir-1-1",488.008494030153,-0.69253334517286,0.135417993574008,-5.11404228415465,3.15336720344281e-07,1.31012825248011e-06
"hsa-mir-1-2",514.139301860815,-0.664939333601672,0.13603154712068,-4.88812593605049,1.01800404242784e-06,4.05047111061236e-06
"hsa-mir-100",34542.9339871707,-0.625636861802404,0.0833765022511439,-7.5037551937341,6.20150742571386e-14,5.23992537543463e-13
"hsa-mir-101-1",32155.9352509242,-0.487932884692528,0.0747929964714002,-6.52377772936409,6.85582848978694e-11,4.33242270951242e-10
"hsa-mir-101-2",32381.4522736753,-0.480905324296475,0.0742631636552558,-6.4756913202477,9.43788156356902e-11,5.77015198032837e-10
"hsa-mir-103a-1",29587.6249430587,0.764696426809922,0.0721995902034675,10.5914233675691,3.26587621409574e-26,6.46299713947367e-25
"hsa-mir-103a-2",29588.8580274801,0.760947853214381,0.0720558583202433,10.5605272208741,4.54104102601305e-26,8.75605859374824e-25
"hsa-mir-105-1",1.42704687527634,-0.534096396751709,0.497308162456385,-1.07397472447187,0.282834010041466,0.420338291603128
"hsa-mir-105-2",1.18962763506988,-0.194618539450569,0.488770963341631,-0.398179421543375,0.690497933777469,0.810069338846578
"hsa-mir-106a",381.201642463022,1.36391866429519,0.141390416817879,9.64647176938461,5.08760782465332e-22,6.59634669679189e-21
"hsa-mir-106b",1140.00597783635,0.41628579284358,0.0671699885302584,6.19749685763387,5.7368183677649e-10,3.24367474628511e-09
"hsa-mir-107",134.156247934803,-0.460126759092944,0.0672275486377127,-6.84431856310206,7.68407569606728e-12,5.50326183185009e-11
"hsa-mir-10a",18057.7262665706,-1.42452325095993,0.144711992263041,-9.84385073194625,7.2867238128906e-23,9.96293874053405e-22
"hsa-mir-10b",154064.863578733,0.380920479893001,0.138575505809181,2.74882979981709,0.00598084332321209,0.0138814635156034
"hsa-mir-1179",0.523657034425233,-0.568987236613686,0.270647489460112,-2.10231854634493,0.0355253810169711,0.0697521841377605
"hsa-mir-1180",29.5109966303118,-0.351500109351603,0.123741920972428,-2.84059037219831,0.00450301121153201,0.0106152490002259
"hsa-mir-1181",0.445101330045029,-0.39884576590798,0.345555733176679,-1.15421544953518,0.248411850123138,0.375866622319114
"hsa-mir-1185-1",0.69914967495353,-0.311985903464025,0.271817292882585,-1.14777798040536,0.251060229666399,0.378351287994252
"hsa-mir-1185-2",0.311818289219468,-0.141746329775661,0.370662475982434,-0.382413486555296,0.702154688380551,0.816105603805524
"hsa-mir-1193",0.0293792728569271,-0.125612054387144,2.28848592417639,-0.0548887161857249,0.956227121506927,NA
"hsa-mir-1197",0.119306984297583,-0.365082489148148,0.781903066040861,-0.466915280172427,0.64056049253864,NA
"hsa-mir-122",1.30031561470724,2.72550374115117,0.744195127383573,3.66235096262111,0.000249911151603919,0.000722819946177488
"hsa-mir-1224",2.86918208449323,-3.90896937468732,0.330423321308886,-11.8301860752533,2.72536957051019e-32,7.31956398937022e-31
"hsa-mir-1225",0.328825290509082,-0.45530116131724,0.364347334159351,-1.24963494619151,0.211432931249603,0.327155482098152
"hsa-mir-1226",1.3233930549377,-0.0673638952298601,0.225369176905205,-0.298904651270012,0.765012798064068,0.857361585907867
"hsa-mir-1227",0.0348199791515896,-0.0523224429009296,2.01553087996512,-0.0259596334747474,0.979289535411739,NA
"hsa-mir-1228",0.905109289400468,0.510742472585987,0.281887875240708,1.81186392692434,0.0700072244430815,0.126551521108647
"hsa-mir-1229",0.33091688913956,-0.302440223200359,0.37739649934082,-0.801385873288747,0.422908290804914,0.572340210033613
"hsa-mir-1231",0.0305943128777545,-0.17849489626254,2.1917068171569,-0.081441046250011,0.935091207318765,NA
"hsa-mir-1234",0.101224581283179,-0.193516895081824,0.889070280973874,-0.217662089514283,0.827692403637307,NA
"hsa-mir-1236",0.0325425868294112,0.010610905536396,1.94652607491254,0.00545120133408577,0.99565059215859,NA
"hsa-mir-1237",0.0539169529507857,-0.173545365026181,1.38622978562065,-0.125192350378245,0.900371273113767,NA
"hsa-mir-1238",0.0347488722186455,-0.108085751241667,1.94289206712703,-0.0556313719482598,0.955635471995483,NA
"hsa-mir-124-1",0.115515779807718,-0.207960253572725,0.862895244340726,-0.241002896859875,0.809552871322667,NA
"hsa-mir-124-2",0.161195530480827,-0.522417782690657,0.651375869789815,-0.802022007445916,0.422540228026413,0.572340210033613
"hsa-mir-124-3",0.130995347364044,-0.618319066154009,0.782498385309695,-0.790185740650817,0.429419302341876,NA
"hsa-mir-1243",0.133595056793243,-0.366812994109018,0.682534339252832,-0.537427896317373,0.59097207820467,NA
"hsa-mir-1245a",3.28001478974452,0.437207644510049,0.175035167219875,2.49782744493191,0.0124957001962614,0.0273958208384506
"hsa-mir-1245b",0.207914559276265,0.0347614345527295,0.483305395050069,0.0719243668884109,0.942662098293023,0.967096722941819
"hsa-mir-1246",0.0289073450500956,-0.205565605631028,2.63955747344799,-0.0778788140432125,0.937924452161866,NA
"hsa-mir-1247",132.94911242073,-0.531554275620314,0.15135646423204,-3.5119363967528,0.000444854448247046,0.00126237941540294
