"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","source","type","score","phase","gene_type","gene_name","level","hgnc_id","havana_gene"
"1","ENSG00000000003.15",6413.6161500989,0.5881333007579,0.234286625191623,2.51031530407195,0.0120623403872035,0.0251296428530164,"HAVANA","gene",NA,NA,"protein_coding","TSPAN6","2","HGNC:11858","OTTHUMG00000022002.2"
"2","ENSG00000000005.6",63.695710882405,1.15004936252384,0.587863745814257,1.95631959057264,0.0504275178117052,0.0862723706096343,"HAVANA","gene",NA,NA,"protein_coding","TNMD","2","HGNC:17757","OTTHUMG00000022001.2"
"3","ENSG00000000419.13",2009.26217857425,0.64489213467505,0.209977678174414,3.07124138280729,0.00213170741524073,0.00546576834264306,"HAVANA","gene",NA,NA,"protein_coding","DPM1","2","HGNC:3005","OTTHUMG00000032742.2"
"4","ENSG00000000457.14",500.013373844957,-0.126952467391019,0.14023213836065,-0.905302228683992,0.365305296042052,0.456162239029035,"HAVANA","gene",NA,NA,"protein_coding","SCYL3","2","HGNC:19285","OTTHUMG00000035941.6"
"5","ENSG00000000460.17",369.336826278252,1.07789009646391,0.182223442774487,5.91521090838936,3.31450588033477e-09,3.12652157515943e-08,"HAVANA","gene",NA,NA,"protein_coding","C1orf112","2","HGNC:25565","OTTHUMG00000035821.9"
"6","ENSG00000000938.13",229.971869005028,0.0237496341429202,0.351708999577597,0.0675263759853844,0.946162664942805,0.961239676386206,"HAVANA","gene",NA,NA,"protein_coding","FGR","2","HGNC:3697","OTTHUMG00000003516.3"
"7","ENSG00000000971.16",848.854077995565,-1.77644948074226,0.349427520487413,-5.08388543141739,3.69791044608805e-07,2.22804061361317e-06,"HAVANA","gene",NA,NA,"protein_coding","CFH","1","HGNC:4883","OTTHUMG00000035607.6"
"8","ENSG00000001036.14",2348.25708877755,0.423402630334221,0.147545466811216,2.86964174152475,0.00410937106117266,0.00976892533502886,"HAVANA","gene",NA,NA,"protein_coding","FUCA2","2","HGNC:4008","OTTHUMG00000015728.3"
"9","ENSG00000001084.13",1623.13313876455,0.204523246200163,0.157930233134614,1.29502275872559,0.195312378568021,0.271577941638204,"HAVANA","gene",NA,NA,"protein_coding","GCLC","1","HGNC:4311","OTTHUMG00000160220.13"
"10","ENSG00000001167.14",1149.22158777459,0.610072061098622,0.138031520905178,4.41980249944298,9.87911461361893e-06,4.41064319936068e-05,"HAVANA","gene",NA,NA,"protein_coding","NFYA","2","HGNC:7804","OTTHUMG00000014669.1"
"11","ENSG00000001460.18",334.032986368011,-0.778265024614657,0.171603492561019,-4.53525166067305,5.75348404750545e-06,2.70507033708422e-05,"HAVANA","gene",NA,NA,"protein_coding","STPG1","2","HGNC:28070","OTTHUMG00000003297.4"
"12","ENSG00000001461.17",1354.84150889248,-0.6674353085758,0.14689914772073,-4.54349340300233,5.53295377576419e-06,2.61712643868625e-05,"HAVANA","gene",NA,NA,"protein_coding","NIPAL3","2","HGNC:25233","OTTHUMG00000003299.4"
"13","ENSG00000001497.18",2421.07382781832,1.16821526745752,0.174486646511446,6.69515570855382,2.15442107273793e-11,3.21981184262304e-10,"HAVANA","gene",NA,NA,"protein_coding","LAS1L","2","HGNC:25726","OTTHUMG00000021720.2"
"14","ENSG00000001561.7",1042.88784349345,-0.669335704248336,0.238795290362941,-2.80296861479564,0.00506345965366128,0.0117178454258175,"HAVANA","gene",NA,NA,"protein_coding","ENPP4","2","HGNC:3359","OTTHUMG00000014779.3"
"15","ENSG00000001617.12",1632.53079990333,1.15580722787856,0.247102328804255,4.677443686879,2.90473307842462e-06,1.46245298283384e-05,"HAVANA","gene",NA,NA,"protein_coding","SEMA3F","2","HGNC:10728","OTTHUMG00000156806.9"
"16","ENSG00000001626.16",7124.88014992567,0.0469958973913323,0.32007964367142,0.146825636433088,0.883269649029118,0.914132225414144,"HAVANA","gene",NA,NA,"protein_coding","CFTR","1","HGNC:1884","OTTHUMG00000023076.18"
"17","ENSG00000001629.10",1717.42196247127,-0.0294869163116967,0.142087315785172,-0.207526732057345,0.835598517901957,0.876859029554619,"HAVANA","gene",NA,NA,"protein_coding","ANKIB1","2","HGNC:22215","OTTHUMG00000155859.3"
"18","ENSG00000001630.17",237.774761599909,0.347835885903812,0.311445503042975,1.11684350072576,0.264061245525809,0.348956790393864,"HAVANA","gene",NA,NA,"protein_coding","CYP51A1","1","HGNC:2649","OTTHUMG00000193420.2"
"19","ENSG00000001631.16",211.982400147627,0.513615717684567,0.159392804825461,3.22232686881311,0.00127153984922047,0.00346221640907691,"HAVANA","gene",NA,NA,"protein_coding","KRIT1","2","HGNC:1573","OTTHUMG00000131187.10"
"20","ENSG00000002016.18",361.36183530418,0.191158638799938,0.234010613998325,0.816880206986281,0.413996890019548,0.504935220518381,"HAVANA","gene",NA,NA,"protein_coding","RAD52","2","HGNC:9824","OTTHUMG00000090361.6"
"21","ENSG00000002330.14",495.185649859444,0.0824147237591218,0.329335346325479,0.250245607338096,0.802397417413395,0.849955998802535,"HAVANA","gene",NA,NA,"protein_coding","BAD","1","HGNC:936","OTTHUMG00000134302.4"
"22","ENSG00000002549.12",3305.70367932212,0.130866915036675,0.165657878609495,0.789983042974778,0.429537671424514,0.520114344998743,"HAVANA","gene",NA,NA,"protein_coding","LAP3","2","HGNC:18449","OTTHUMG00000048214.7"
"23","ENSG00000002586.20",6336.61814422554,-0.185473691234085,0.190212241557453,-0.975088089575261,0.329516566108863,0.418920827469329,"HAVANA","gene",NA,NA,"protein_coding","CD99","2","HGNC:7082","OTTHUMG00000021073.12"
"24","ENSG00000002587.10",465.100081557507,0.701481342491239,0.257764862537694,2.72140017683232,0.00650060149071516,0.0146550864202593,"HAVANA","gene",NA,NA,"protein_coding","HS3ST1","2","HGNC:5194","OTTHUMG00000090547.7"
"25","ENSG00000002726.21",9375.29321698073,-1.34101452872827,0.316496981231854,-4.23705314189362,2.26472548530563e-05,9.35174540659393e-05,"HAVANA","gene",NA,NA,"protein_coding","AOC1","2","HGNC:80","OTTHUMG00000158306.2"
"26","ENSG00000002745.13",7.77691492110802,-1.85971369063945,0.565734852571451,-3.2872531755582,0.00101169833567833,0.00282838195881834,"HAVANA","gene",NA,NA,"protein_coding","WNT16","2","HGNC:16267","OTTHUMG00000156963.2"
"27","ENSG00000002746.15",35.7799678859414,1.21869743700268,0.415098701334553,2.93592206644959,0.00332557860491002,0.00809267805280862,"HAVANA","gene",NA,NA,"protein_coding","HECW1","1","HGNC:22195","OTTHUMG00000128917.6"
"28","ENSG00000002822.15",10.4099644234438,0.0024211037938481,0.349013632505823,0.00693698918424829,0.99446512782282,0.995683495746867,"HAVANA","gene",NA,NA,"protein_coding","MAD1L1","1","HGNC:6762","OTTHUMG00000151493.7"
"29","ENSG00000002834.18",11361.4294281258,-0.125510652402817,0.166485252288031,-0.753884507353689,0.450918574164847,0.541048120989708,"HAVANA","gene",NA,NA,"protein_coding","LASP1","1","HGNC:6513","OTTHUMG00000133182.8"
"30","ENSG00000002919.15",898.116488933262,-0.402582689106038,0.164179561073027,-2.45208774146356,0.0142030024728906,0.0289357185428203,"HAVANA","gene",NA,NA,"protein_coding","SNX11","2","HGNC:14975","OTTHUMG00000178822.2"
"31","ENSG00000002933.9",8645.63105997264,0.676359857591224,0.30711145609934,2.20232701893232,0.0276422169669962,0.0516288612974885,"HAVANA","gene",NA,NA,"protein_coding","TMEM176A","2","HGNC:24930","OTTHUMG00000158114.6"
"32","ENSG00000003056.8",2565.86872591749,0.316041248341879,0.182843597583825,1.72847861515626,0.0839024517477159,0.133152279986952,"HAVANA","gene",NA,NA,"protein_coding","M6PR","1","HGNC:6752","OTTHUMG00000168276.4"
"33","ENSG00000003096.14",231.440570526387,-0.749885864417149,0.585236221880188,-1.28133877634571,0.20007469848304,0.276852382361777,"HAVANA","gene",NA,NA,"protein_coding","KLHL13","2","HGNC:22931","OTTHUMG00000022252.4"
"34","ENSG00000003137.8",96.3194473154216,-1.36894250523198,0.373413217572079,-3.66602584164749,0.000246349042517241,0.000796745716031206,"HAVANA","gene",NA,NA,"protein_coding","CYP26B1","1","HGNC:20581","OTTHUMG00000129756.5"
"35","ENSG00000003147.19",2234.74765953214,1.17436632429698,0.189887889939811,6.18452458800411,6.22899043501645e-10,6.81486322097269e-09,"HAVANA","gene",NA,NA,"protein_coding","ICA1","2","HGNC:5343","OTTHUMG00000152008.11"
"36","ENSG00000003249.15",884.547221912362,2.52841330406899,0.262973998054724,9.61468937146719,6.93182578493795e-22,7.41829141591663e-20,"HAVANA","gene",NA,NA,"protein_coding","DBNDD1","2","HGNC:28455","OTTHUMG00000138984.4"
"37","ENSG00000003393.15",687.215415365156,0.268484537111424,0.165513716104447,1.62212862734589,0.104775809723955,0.161033021287996,"HAVANA","gene",NA,NA,"protein_coding","ALS2","2","HGNC:443","OTTHUMG00000154507.8"
"38","ENSG00000003400.15",1242.60337381988,-0.542734644385544,0.197843913422827,-2.74324660787328,0.00608349794415324,0.0138100012042842,"HAVANA","gene",NA,NA,"protein_coding","CASP10","2","HGNC:1500","OTTHUMG00000132818.5"
"39","ENSG00000003402.20",2562.74978642831,-0.55522799009038,0.120066080650633,-4.62435341506629,3.75768708486504e-06,1.84891779142826e-05,"HAVANA","gene",NA,NA,"protein_coding","CFLAR","1","HGNC:1876","OTTHUMG00000132819.20"
"40","ENSG00000003436.16",507.665254926849,-1.18845707744849,0.314115453616003,-3.78350400710099,0.000154635833822018,0.000525557212908517,"HAVANA","gene",NA,NA,"protein_coding","TFPI","2","HGNC:11760","OTTHUMG00000132634.8"
"41","ENSG00000003509.16",467.369537924318,0.319511327171829,0.147303009007459,2.16907535918462,0.0300769630867793,0.0555245630287714,"HAVANA","gene",NA,NA,"protein_coding","NDUFAF7","1","HGNC:28816","OTTHUMG00000128468.7"
"42","ENSG00000003756.17",1869.9062468748,0.2947335006329,0.153004168984371,1.92631026062438,0.0540656450055618,0.0915815179531746,"HAVANA","gene",NA,NA,"protein_coding","RBM5","1","HGNC:9902","OTTHUMG00000156785.9"
"43","ENSG00000003987.14",24.2394190059351,-1.35922382461156,0.308331748977107,-4.40831613715033,1.04177405996422e-05,4.62813338870687e-05,"HAVANA","gene",NA,NA,"protein_coding","MTMR7","2","HGNC:7454","OTTHUMG00000163771.4"
"44","ENSG00000003989.18",165.14703222155,-1.4897784601397,0.497344748834781,-2.99546434064112,0.00274027339696898,0.00682082487473213,"HAVANA","gene",NA,NA,"protein_coding","SLC7A2","2","HGNC:11060","OTTHUMG00000130819.5"
"45","ENSG00000004059.11",4776.84047140485,0.555614315027552,0.226034544688947,2.45809469429618,0.0139676339084867,0.0285498055980766,"HAVANA","gene",NA,NA,"protein_coding","ARF5","2","HGNC:658","OTTHUMG00000023246.7"
"46","ENSG00000004139.14",197.004851765917,0.119416262082312,0.21316789418507,0.560198159947278,0.575344281967175,0.655229926236007,"HAVANA","gene",NA,NA,"protein_coding","SARM1","1","HGNC:17074","OTTHUMG00000132499.47"
"47","ENSG00000004142.12",5295.56999361477,0.42733130305529,0.148911069488631,2.86970810513127,0.00410850876771,0.00976816703711428,"HAVANA","gene",NA,NA,"protein_coding","POLDIP2","2","HGNC:23781","OTTHUMG00000132065.9"
"48","ENSG00000004399.13",2585.05654095685,0.464198209467979,0.317104902297387,1.46386323927798,0.143231319294385,0.210011082172056,"HAVANA","gene",NA,NA,"protein_coding","PLXND1","1","HGNC:9107","OTTHUMG00000159547.15"
"49","ENSG00000004455.17",4880.50212028779,0.0851511260044856,0.16089843899909,0.529222822385289,0.596650886512459,0.673352977754535,"HAVANA","gene",NA,NA,"protein_coding","AK2","1","HGNC:362","OTTHUMG00000004131.7"
"50","ENSG00000004468.13",194.189608107338,-0.747577084105567,0.47739407865093,-1.56595382627734,0.117359427220482,0.177669681879172,"HAVANA","gene",NA,NA,"protein_coding","CD38","2","HGNC:1667","OTTHUMG00000048206.6"
"51","ENSG00000004478.8",6639.80357605537,0.936130793476689,0.212819370030735,4.39871048082463,1.08895982268162e-05,4.81870751956505e-05,"HAVANA","gene",NA,NA,"protein_coding","FKBP4","2","HGNC:3720","OTTHUMG00000090429.4"
"52","ENSG00000004487.17",4254.24115908062,0.762347803829472,0.165295627435311,4.61202643807271,3.98762260390148e-06,1.95456561601812e-05,"HAVANA","gene",NA,NA,"protein_coding","KDM1A","1","HGNC:29079","OTTHUMG00000003220.7"
"53","ENSG00000004534.15",2253.10006704373,0.464793336134307,0.208664123463884,2.22747125101625,0.0259157951164739,0.0488150948558496,"HAVANA","gene",NA,NA,"protein_coding","RBM6","1","HGNC:9903","OTTHUMG00000156736.13"
"54","ENSG00000004660.15",525.098501720036,0.695588971266203,0.196895113963656,3.53278939869783,0.000411199896384594,0.00126700307405289,"HAVANA","gene",NA,NA,"protein_coding","CAMKK1","2","HGNC:1469","OTTHUMG00000090725.3"
